query_id,doc_id,label,bm25_score,tfidf_score,pagerank,ctr,title_match,url_depth,doc_length_norm,freshness,exact_match,domain_authority
0,0,2,6.0202,1.9751,0.1008,0.1152,0.9699,4,0.0869,0.9386,0,0.4554
0,1,1,0.964,6.1323,0.1324,0.0011,0.5633,2,0.0221,0.6842,0,0.4112
0,2,1,0.5989,1.6294,0.5519,0.2521,0.0885,7,0.0974,0.5208,1,0.3769
0,3,1,0.6459,0.527,0.3316,0.0378,0.1988,3,0.0649,0.9263,0,0.6237
0,4,0,0.9267,1.6577,0.2535,0.0641,0.0404,7,0.0884,0.4275,0,0.0819
0,5,1,2.8175,0.3897,0.1098,0.1678,0.8715,4,0.0266,0.8833,0,0.0973
0,6,0,2.0865,0.0008,0.1417,0.0908,0.1683,1,0.1007,0.4038,0,0.3412
0,7,0,0.8465,1.5091,0.5904,0.0564,0.3697,1,0.0181,0.6323,0,0.7548
0,8,0,1.7876,1.6978,0.2998,0.0263,0.1375,4,0.1901,0.7352,0,0.6177
0,9,2,0.6045,8.3805,0.2349,0.0312,0.8467,4,0.0518,0.642,0,0.4138
0,10,1,0.214,1.6337,0.4846,0.1422,0.6496,7,0.013,0.7209,0,0.1867
0,11,1,1.334,3.5483,0.1776,0.2477,0.4992,4,0.0421,0.1771,1,0.3922
0,12,0,5.271,0.8384,0.1491,0.0355,0.696,6,0.0116,0.0972,0,0.5555
0,13,1,0.6951,2.4861,0.4149,0.0371,0.7958,4,0.0085,0.672,0,0.7395
0,14,1,0.7227,1.1553,0.4713,0.0671,0.6995,4,0.0625,0.1327,1,0.4646
0,15,0,0.1199,3.7014,0.1893,0.2317,0.5167,7,0.2112,0.0477,0,0.346
0,16,0,0.1978,0.5597,0.1237,0.0051,0.684,7,0.0859,0.9443,1,0.5036
0,17,1,3.4367,1.475,0.3398,0.0204,0.039,2,0.0248,0.319,1,0.5178
0,18,0,2.3863,1.4871,0.2652,0.0158,0.4126,2,0.0743,0.25,0,0.2836
0,19,0,0.9488,1.1464,0.5853,0.0075,0.8471,1,0.0558,0.9506,0,0.6886
1,0,2,2.7917,2.3523,0.1648,0.23,0.7615,4,0.0293,0.8669,1,0.1653
1,1,1,0.5311,1.3059,0.1229,0.0743,0.7082,3,0.0551,0.4242,1,0.6658
1,2,1,0.1159,0.1897,0.4062,0.3596,0.2236,6,0.0173,0.8021,1,0.0555
1,3,1,2.3776,0.1176,0.384,0.1464,0.7371,3,0.0361,0.6201,0,0.871
1,4,1,0.1618,5.4974,0.0378,0.0282,0.8661,5,0.2519,0.1648,0,0.2028
1,5,2,3.5341,1.2628,0.4408,0.1263,0.7261,2,0.0257,0.4505,0,0.7232
1,6,1,1.9253,0.6651,0.3978,0.0671,0.8767,1,0.1278,0.59,0,0.6688
1,7,3,7.8709,1.4051,0.4918,0.0732,0.9105,6,0.1077,0.9495,0,0.7422
1,8,2,7.8273,1.0177,0.6198,0.0126,0.3457,3,0.0158,0.8743,0,0.3497
1,9,0,0.0646,1.1935,0.069,0.0435,0.0923,7,0.02,0.8736,1,0.3123
1,10,0,0.408,0.3523,0.5164,0.0471,0.5117,7,0.015,0.0305,1,0.4235
1,11,0,3.6741,0.1402,0.1299,0.064,0.4796,4,0.4334,0.7454,0,0.694
1,12,0,1.6916,0.6603,0.256,0.0209,0.2851,7,0.0248,0.0557,1,0.2998
1,13,1,2.5667,2.5794,0.5604,0.0313,0.5298,1,0.0764,0.6106,0,0.1578
1,14,0,0.2887,0.0982,0.1423,0.1254,0.5956,6,0.0069,0.9295,1,0.1653
1,15,1,0.3999,0.1032,0.2095,0.1616,0.8146,3,0.0262,0.6338,1,0.8009
1,16,1,1.9569,1.1641,0.5514,0.0547,0.229,7,0.0092,0.1393,1,0.4419
1,17,1,0.329,0.5603,0.4945,0.1428,0.1106,4,0.0924,0.457,0,0.7714
1,18,1,2.5188,1.3708,0.5674,0.0489,0.615,2,0.0483,0.6115,0,0.3098
1,19,2,1.7174,1.3998,0.3167,0.0566,0.9848,6,0.0613,0.3321,0,0.5947
2,0,1,3.1004,1.3885,0.3268,0.0477,0.0328,3,0.0388,0.1409,0,0.1865
2,1,1,2.1785,0.2941,0.1617,0.0852,0.8981,6,0.0394,0.1907,0,0.8612
2,2,1,1.1624,0.7681,0.2441,0.036,0.0254,4,0.0107,0.8398,1,0.8921
2,3,1,0.8288,1.264,0.165,0.2877,0.8069,4,0.0074,0.0869,0,0.1885
2,4,2,4.8298,1.4703,0.4768,0.1137,0.8611,3,0.0206,0.9485,1,0.5549
2,5,0,0.5965,0.2251,0.364,0.0286,0.9143,5,0.04,0.0672,0,0.6894
2,6,0,0.6122,0.4649,0.1,0.0892,0.422,2,0.1265,0.1663,1,0.5433
2,7,1,2.5391,0.5289,0.041,0.131,0.0312,4,0.0536,0.8464,1,0.4046
2,8,1,0.8663,0.7986,0.2406,0.0062,0.79,1,0.0223,0.446,0,0.5464
2,9,0,3.7835,0.4309,0.3787,0.0752,0.0339,5,0.0178,0.1153,0,0.3185
2,10,0,2.1006,0.6805,0.0553,0.0376,0.5384,6,0.006,0.3188,0,0.3164
2,11,1,5.596,2.4051,0.532,0.1058,0.7376,6,0.1726,0.0033,0,0.5927
2,12,1,0.0923,0.1739,0.2863,0.2459,0.6008,6,0.0131,0.9912,0,0.3039
2,13,0,0.5245,0.2913,0.2164,0.0069,0.696,3,0.0125,0.8158,0,0.6886
2,14,1,4.3919,4.6735,0.1697,0.0067,0.3727,3,0.039,0.081,0,0.7788
2,15,1,1.6682,0.466,0.0888,0.1298,0.837,1,0.0159,0.8816,1,0.5769
2,16,0,0.0022,1.2185,0.1082,0.0542,0.0091,5,0.0471,0.7798,0,0.246
2,17,1,0.2163,4.1524,0.3098,0.0082,0.3459,2,0.3042,0.5944,0,0.3063
2,18,0,0.5821,0.0015,0.3799,0.1187,0.8399,7,0.0449,0.6805,0,0.5381
2,19,0,0.641,6.2007,0.5385,0.0029,0.3685,7,0.4992,0.1592,0,0.1145
3,0,0,3.1871,0.5226,0.3865,0.0793,0.1608,6,0.0083,0.582,0,0.1734
3,1,0,1.3076,1.3745,0.1235,0.0036,0.1049,1,0.0475,0.0184,0,0.1274
3,2,0,0.1503,1.1461,0.1325,0.0172,0.6704,3,0.0701,0.1242,1,0.4692
3,3,0,1.8948,0.9936,0.1845,0.0454,0.164,6,0.021,0.8718,0,0.4598
3,4,0,2.15,1.0343,0.4704,0.3592,0.0722,7,0.0709,0.2036,1,0.6158
3,5,0,1.5675,1.0823,0.5089,0.0962,0.655,3,0.0898,0.2107,0,0.5189
3,6,0,4.7945,0.2971,0.3428,0.1429,0.593,6,0.0023,0.6521,0,0.6069
3,7,1,0.5411,0.4012,0.7372,0.1248,0.4494,3,0.011,0.6055,0,0.0863
3,8,1,3.9934,1.2251,0.1855,0.0253,0.18,3,0.025,0.3162,0,0.4905
3,9,1,0.3008,0.0456,0.3384,0.2288,0.6726,6,0.0333,0.6926,1,0.4287
3,10,1,4.0637,1.2681,0.3141,0.0629,0.9994,6,0.0543,0.3181,1,0.4129
3,11,1,4.2057,0.5723,0.409,0.0529,0.6098,7,0.0166,0.4487,0,0.4192
3,12,0,1.2454,0.7165,0.1877,0.0655,0.5336,7,0.0078,0.3944,0,0.3969
3,13,1,0.1479,4.6403,0.3701,0.0256,0.6174,5,0.015,0.803,0,0.0924
3,14,0,1.0673,0.195,0.4636,0.1082,0.9629,4,0.0158,0.087,1,0.8524
3,15,1,1.8005,2.368,0.6381,0.1803,0.2556,4,0.09,0.4237,0,0.4066
3,16,1,0.3679,2.0027,0.1794,0.0733,0.3909,5,0.3679,0.0585,0,0.759
3,17,0,0.0319,0.6258,0.3807,0.1002,0.6453,4,0.0225,0.2267,0,0.2939
3,18,0,0.5324,1.1648,0.2411,0.0327,0.4652,6,0.2826,0.5623,1,0.633
3,19,2,2.8225,0.6406,0.1724,0.4525,0.54,1,0.0211,0.257,1,0.4112
4,0,0,0.2503,0.3869,0.2173,0.0813,0.8733,6,0.091,0.9194,0,0.4143
4,1,0,3.1216,0.5451,0.4544,0.047,0.641,1,0.0196,0.3137,0,0.7137
4,2,0,2.1951,0.1948,0.864,0.1256,0.8761,5,0.0153,0.1057,0,0.6968
4,3,1,10.5439,0.0893,0.3143,0.0073,0.9967,1,0.0194,0.1738,0,0.1731
4,4,0,2.1231,0.656,0.0153,0.293,0.7903,5,0.0273,0.7603,0,0.1168
4,5,0,0.2325,1.191,0.4997,0.1229,0.3759,4,0.0297,0.9562,0,0.4908
4,6,0,0.159,0.4914,0.2372,0.0889,0.8894,7,0.0046,0.5184,0,0.2132
4,7,0,0.1496,0.1109,0.3306,0.1766,0.1852,3,0.14,0.8305,0,0.0469
4,8,0,3.051,0.3878,0.2417,0.2332,0.114,5,0.0279,0.5824,1,0.3377
4,9,1,1.1575,1.4238,0.2188,0.0761,0.8465,1,0.0225,0.544,0,0.2608
4,10,1,0.6276,1.1633,0.1337,0.3036,0.1507,4,0.0549,0.5903,0,0.4204
4,11,0,2.0228,2.1477,0.375,0.0834,0.5551,6,0.0264,0.616,0,0.6762
4,12,1,6.3437,0.6882,0.414,0.4334,0.4486,4,0.0205,0.1378,0,0.565
4,13,0,1.0294,3.1103,0.5185,0.1122,0.6021,4,0.0207,0.825,0,0.6717
4,14,0,0.3191,0.5967,0.3948,0.1252,0.9331,5,0.0636,0.4962,0,0.1634
4,15,0,0.3614,1.8072,0.3466,0.1608,0.4809,5,0.011,0.4582,0,0.195
4,16,0,1.8844,0.2182,0.3002,0.0058,0.2617,3,0.0979,0.9748,0,0.3205
